EventId,EventName,EventCategoryId,EventCategoryName,StartDateTime,EndDateTime,ReservationId,BackgroundColor,TextColor,IsRegistered,SsoUrl,ImageUrl,MaxRegistrants,RegisteredCount,PriceInfo,RatingRestrictions,TagsInfo
1267427,4.25 Open Play,69929,Invitation Only Group,2025-06-01T07:00:00,2025-06-01T09:00:00,34343902,#95002a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1342228,4.0 Open Play,40425,Advanced,2025-06-01T07:00:00,2025-06-01T09:00:00,36136582,#121312,#ffffff,False,REDACTED,,10.0,,[],[],[]
1342229,3.75+ Open Play,47676,Low Advanced,2025-06-01T07:00:00,2025-06-01T09:00:00,36136610,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1342230,3.75+ Open Play,47676,Low Advanced,2025-06-01T09:00:00,2025-06-01T11:00:00,36136650,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1342243,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-01T09:00:00,2025-06-01T11:00:00,36137025,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1224713,Beginner Open Play (Unsupervised),61862,Beginner Open Play,2025-06-01T11:00:00,2025-06-01T12:00:00,33580116,#dcedc1,#000000,False,REDACTED,,4.0,,[],[],[]
1342254,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-01T11:00:00,2025-06-01T13:00:00,36137274,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342266,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-01T11:00:00,2025-06-01T13:00:00,36137477,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342273,All You Can Play $15 Flat - Free with Basic and Premium Memberships,53028,All Levels w/ Challenge Court,2025-06-01T13:00:00,2025-06-01T15:00:00,36137640,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1180120,(50+ - 4.0+) Cross Club League Match - The Pickle Jar,51017,Cross Club Events,2025-06-01T14:00:00,2025-06-01T17:00:00,32454175,#eae323,#100f0f,False,REDACTED,,20.0,,[],[],[]
1342289,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-06-01T15:00:00,2025-06-01T18:00:00,36138050,#74d600,#000000,False,REDACTED,,42.0,,[],[],[]
1342326,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-06-01T18:00:00,2025-06-01T21:00:00,36138904,#74d600,#000000,False,REDACTED,,42.0,,[],[],[]
1342216,Closed Courts,46821,Closed Courts,2025-06-01T21:00:00,2025-06-01T23:59:00,36135428,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1287090,Closed Courts,46821,Closed Courts,2025-06-02T07:00:00,2025-06-02T09:00:00,36135042,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1516644,Closed Courts,46821,Closed Courts,2025-06-02T07:00:00,2025-06-02T09:00:00,40294300,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1342508,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-02T09:00:00,2025-06-02T11:00:00,36144731,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342657,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-02T09:00:00,2025-06-02T11:00:00,36149713,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342659,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-02T09:00:00,2025-06-02T11:00:00,36149837,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1342336,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-02T11:00:00,2025-06-02T13:00:00,36139137,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342357,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-02T11:00:00,2025-06-02T13:00:00,36139739,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342360,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-02T11:00:00,2025-06-02T13:00:00,36139812,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1342407,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-02T13:00:00,2025-06-02T15:00:00,36141215,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1342411,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-02T15:00:00,2025-06-02T17:00:00,36141278,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1114751,High School - Open Play,65806,Highschool Open Play,2025-06-02T15:00:00,2025-06-02T17:00:00,36168411,#3439cc,#f7f6f6,False,REDACTED,,10.0,,[],[],[]
1343043,Intro to Pickleball,61814,Intro to Pickleball,2025-06-02T17:00:00,2025-06-02T18:00:00,36168444,#a8e6cf,#000000,False,REDACTED,,8.0,,[],[],[]
1228396,Session 3 Womens 3.5-3.5+ Ladder League,51948,Big Dill Ladder League,2025-06-02T18:00:00,2025-06-02T20:00:00,33712118,#11e2bb,#000000,False,REDACTED,,20.0,,[],[],[]
1343046,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-02T18:00:00,2025-06-02T20:00:00,36168572,#ffd3b6,#171717,False,REDACTED,,6.0,,[],[],[]
1343049,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-02T18:00:00,2025-06-02T20:00:00,36168692,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1343070,3.75+ Open Play,47676,Low Advanced,2025-06-02T20:00:00,2025-06-02T22:00:00,36169518,#51074a,#ffffff,False,REDACTED,,6.0,,[],[],[]
1343071,4.0 Open Play,40425,Advanced,2025-06-02T20:00:00,2025-06-02T22:00:00,36169567,#121312,#ffffff,False,REDACTED,,6.0,,[],[],[]
1350229,4.5+ Cross Club Team Practice,53106,Cross Club Practice,2025-06-02T20:00:00,2025-06-02T22:00:00,36421618,#eae323,#000000,False,REDACTED,,6.0,,[],[],[]
1342350,Closed Courts,46821,Closed Courts,2025-06-02T22:00:00,2025-06-02T23:59:00,36139346,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1287090,Closed Courts,46821,Closed Courts,2025-06-03T07:00:00,2025-06-03T09:00:00,36135043,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1516644,Closed Courts,46821,Closed Courts,2025-06-03T07:00:00,2025-06-03T09:00:00,40294301,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1227480,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-03T09:00:00,2025-06-03T11:00:00,33674328,#74d600,#000000,False,REDACTED,,36.0,,[],[],[]
1342336,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-03T11:00:00,2025-06-03T13:00:00,36139138,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342357,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-03T11:00:00,2025-06-03T13:00:00,36139740,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342360,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-03T11:00:00,2025-06-03T13:00:00,36139813,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1284997,Glenn's Private Group,48032,Private Event,2025-06-03T11:00:00,2025-06-03T13:00:00,36425596,#a51662,#ffffff,False,REDACTED,,14.0,,[],[],[]
1342363,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-03T13:00:00,2025-06-03T15:00:00,36139899,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342484,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-03T13:00:00,2025-06-03T15:00:00,36144007,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342486,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-03T13:00:00,2025-06-03T15:00:00,36144094,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1342411,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-03T15:00:00,2025-06-03T17:00:00,36141279,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1224311,Beginner Open Play (Unsupervised),61862,Beginner Open Play,2025-06-03T17:00:00,2025-06-03T18:00:00,33570343,#dcedc1,#000000,False,REDACTED,,8.0,,[],[],[]
1342664,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-03T18:00:00,2025-06-03T20:00:00,36150130,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342666,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-03T18:00:00,2025-06-03T20:00:00,36150191,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1350241,4.5+ Cross Club Team Practice,53106,Cross Club Practice,2025-06-03T18:00:00,2025-06-03T20:00:00,36422312,#eae323,#000000,False,REDACTED,,10.0,,[],[],[]
1267425,4.25 Open Play,69929,Invitation Only Group,2025-06-03T20:00:00,2025-06-03T22:00:00,34343742,#95002a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1342672,3.75+ Open Play,47676,Low Advanced,2025-06-03T20:00:00,2025-06-03T22:00:00,36150557,#51074a,#ffffff,False,REDACTED,,14.0,,[],[],[]
1342674,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-06-03T22:00:00,2025-06-03T23:59:00,36150606,#74d600,#000000,False,REDACTED,,48.0,,[],[],[]
1287090,Closed Courts,46821,Closed Courts,2025-06-04T07:00:00,2025-06-04T09:00:00,36135044,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1516644,Closed Courts,46821,Closed Courts,2025-06-04T07:00:00,2025-06-04T09:00:00,40294302,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1342508,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-04T09:00:00,2025-06-04T11:00:00,36144732,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342657,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-04T09:00:00,2025-06-04T11:00:00,36149714,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342659,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-04T09:00:00,2025-06-04T11:00:00,36149838,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1342336,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-04T11:00:00,2025-06-04T13:00:00,36139139,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342357,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-04T11:00:00,2025-06-04T13:00:00,36139741,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342360,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-04T11:00:00,2025-06-04T13:00:00,36139814,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1342407,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-04T13:00:00,2025-06-04T15:00:00,36141216,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1342411,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-04T15:00:00,2025-06-04T17:00:00,36141280,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1343043,Intro to Pickleball,61814,Intro to Pickleball,2025-06-04T17:00:00,2025-06-04T18:00:00,37054253,#a8e6cf,#000000,False,REDACTED,,8.0,,[],[],[]
1342720,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-04T17:30:00,2025-06-04T19:30:00,36154581,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342722,3.75+ Open Play,47676,Low Advanced,2025-06-04T17:30:00,2025-06-04T19:30:00,36154626,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1343087,Ladies Night High Intermediate,40471, High Intermediate,2025-06-04T17:30:00,2025-06-04T19:30:00,36170191,#d69cbc,#1a1919,False,REDACTED,,18.0,,[],[],[]
1347774,4.5 Cross Club League Warm Up Court,51017,Cross Club Events,2025-06-04T18:30:00,2025-06-04T19:30:00,36322217,#eae323,#100f0f,False,REDACTED,,14.0,,[],[],[]
1180165,(3.5-3.99) Cross Club League Play Offs - The Pickle Jar,51017,Cross Club Events,2025-06-04T19:30:00,2025-06-04T22:30:00,36263789,#eae323,#100f0f,False,REDACTED,,20.0,,[],[],[]
772075,(4.5-5.4) Cross Club League Play Offs - The Pickle Jar,51017,Cross Club Events,2025-06-04T19:30:00,2025-06-04T22:30:00,36264700,#eae323,#100f0f,False,REDACTED,,20.0,,[],[],[]
1342350,Closed Courts,46821,Closed Courts,2025-06-04T22:30:00,2025-06-04T23:59:00,36139347,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1287090,Closed Courts,46821,Closed Courts,2025-06-05T07:00:00,2025-06-05T09:00:00,36135045,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1516644,Closed Courts,46821,Closed Courts,2025-06-05T07:00:00,2025-06-05T09:00:00,40294303,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1342508,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-05T09:00:00,2025-06-05T11:00:00,36144733,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342657,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-05T09:00:00,2025-06-05T11:00:00,36149715,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342659,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-05T09:00:00,2025-06-05T11:00:00,36149839,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1342336,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-05T11:00:00,2025-06-05T13:00:00,36139140,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342357,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-05T11:00:00,2025-06-05T13:00:00,36139742,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342360,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-05T11:00:00,2025-06-05T13:00:00,36139815,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1284997,Glenn's Private Group,48032,Private Event,2025-06-05T11:00:00,2025-06-05T13:00:00,36425597,#a51662,#ffffff,False,REDACTED,,14.0,,[],[],[]
1342407,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-05T13:00:00,2025-06-05T15:00:00,36141217,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1342411,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-05T15:00:00,2025-06-05T17:00:00,36141281,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1340460,Private Party with Lobby Rental,48032,Private Event,2025-06-05T15:00:00,2025-06-05T18:00:00,36046959,#a51662,#ffffff,False,REDACTED,,20.0,,[],[],[]
1343043,Intro to Pickleball,61814,Intro to Pickleball,2025-06-05T17:00:00,2025-06-05T18:00:00,37054418,#a8e6cf,#000000,False,REDACTED,,8.0,,[],[],[]
1343008,Open Play High Intermediate 3.5,40471, High Intermediate,2025-06-05T17:30:00,2025-06-05T19:30:00,36167297,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1343030,4.0 Open Play,40425,Advanced,2025-06-05T17:30:00,2025-06-05T19:30:00,36168028,#121312,#ffffff,False,REDACTED,,10.0,,[],[],[]
1343033,3.75+ Open Play,47676,Low Advanced,2025-06-05T17:30:00,2025-06-05T19:30:00,36168085,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1343007,3.75+ Open Play,47676,Low Advanced,2025-06-05T18:00:00,2025-06-05T20:00:00,36167258,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1343017,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-05T18:00:00,2025-06-05T20:00:00,36167517,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1180238,(4.0-4.49) Cross Club League Play Offs - The Pickle Jar,51017,Cross Club Events,2025-06-05T19:30:00,2025-06-05T22:30:00,36321328,#eae323,#100f0f,False,REDACTED,,20.0,,[],[],[]
1335404,(3.0-3.49) Cross Club League Practice,51017,Cross Club Events,2025-06-05T20:00:00,2025-06-05T22:00:00,35906843,#eae323,#100f0f,False,REDACTED,,14.0,,[],[],[]
1267384,4.5+ Open Play,69928,Advanced Invitational Group,2025-06-05T20:00:00,2025-06-05T23:00:00,34342260,#d6353b,#ffffff,False,REDACTED,,10.0,,[],[],[]
1267391,4.25 Open Play,69929,Invitation Only Group,2025-06-05T20:00:00,2025-06-05T23:00:00,34342536,#95002a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1343024,ALL LEVELS Open Play - $15 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-06-05T22:00:00,2025-06-05T23:59:00,36167718,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1343092,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-06T07:00:00,2025-06-06T09:00:00,36170287,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1343094,3.75+ Open Play,47676,Low Advanced,2025-06-06T07:00:00,2025-06-06T09:00:00,36170322,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1343097,4.0 Open Play,40425,Advanced,2025-06-06T07:00:00,2025-06-06T09:00:00,36170419,#121312,#ffffff,False,REDACTED,,10.0,,[],[],[]
1342508,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-06T09:00:00,2025-06-06T11:00:00,36144734,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342657,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-06T09:00:00,2025-06-06T11:00:00,36149716,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342659,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-06T09:00:00,2025-06-06T11:00:00,36149840,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1342336,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-06T11:00:00,2025-06-06T13:00:00,36139141,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342357,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-06T11:00:00,2025-06-06T13:00:00,36139743,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342360,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-06T11:00:00,2025-06-06T13:00:00,36139816,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1342407,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-06T13:00:00,2025-06-06T15:00:00,36141218,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1342411,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-06T15:00:00,2025-06-06T17:00:00,36141282,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1343010,Guided Beginner,46559,Guided Beginner Social,2025-06-06T17:00:00,2025-06-06T18:00:00,36167419,#a8e6cf,#000000,False,REDACTED,,8.0,,[],[],[]
1342499,All You Can Play $15 Flat - Free with Basic and Premium Memberships,53028,All Levels w/ Challenge Court,2025-06-06T17:00:00,2025-06-06T19:00:00,36144388,#74d600,#000000,False,REDACTED,,36.0,,[],[],[]
1342500,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-06-06T19:00:00,2025-06-06T22:00:00,36144426,#74d600,#000000,False,REDACTED,,48.0,,[],[],[]
1382678,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-06-06T21:00:00,2025-06-06T23:59:00,37223763,#74d600,#000000,False,REDACTED,,12.0,,[],[],[]
1342501,All You Can Play $15 Flat - Free with Basic and Premium Memberships,53028,All Levels w/ Challenge Court,2025-06-06T22:00:00,2025-06-06T23:59:00,36144461,#74d600,#000000,False,REDACTED,,48.0,,[],[],[]
1342451,4.25 Open Play,69929,Invitation Only Group,2025-06-07T07:00:00,2025-06-07T09:00:00,36142702,#95002a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1342453,4.0 Open Play,40425,Advanced,2025-06-07T07:00:00,2025-06-07T09:00:00,36142795,#121312,#ffffff,False,REDACTED,,14.0,,[],[],[]
1342457,3.75+ Open Play,47676,Low Advanced,2025-06-07T07:00:00,2025-06-07T09:00:00,36142882,#51074a,#ffffff,False,REDACTED,,14.0,,[],[],[]
1342230,3.75+ Open Play,47676,Low Advanced,2025-06-07T09:00:00,2025-06-07T11:00:00,36136651,#51074a,#ffffff,False,REDACTED,,10.0,,[],[],[]
1342243,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-07T09:00:00,2025-06-07T11:00:00,36137026,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1356992,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-07T09:00:00,2025-06-07T11:00:00,36658255,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342266,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-07T11:00:00,2025-06-07T13:00:00,36137478,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342467,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-07T11:00:00,2025-06-07T13:00:00,36143115,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1033869,Road to 4.0,63130,David L Coached Clinic,2025-06-07T12:00:00,2025-06-07T13:00:00,33025479,#1ba1e2,#ffffff,False,REDACTED,,4.0,,[],[],[]
